Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-10-28 07:00:00+00:00,6716484.5,6731834.5,6695296.5,6712825.5,0,0.0,0.0
2021-10-28 08:00:00+00:00,6707584.0,6894060.0,6707241.0,6882431.0,0,0.0,0.0
2021-10-28 09:00:00+00:00,6886574.5,6965709.0,6871442.0,6938968.0,0,0.0,0.0
2021-10-28 10:00:00+00:00,6945513.0,6954909.5,6924359.0,6934953.5,0,0.0,0.0
2021-10-28 11:00:00+00:00,6937412.0,6941906.0,6915172.5,6927580.5,12177113088,0.0,0.0
2021-10-28 12:00:00+00:00,6931382.5,6963085.5,6929832.0,6950475.0,21934112768,0.0,0.0
2021-10-28 13:00:00+00:00,6951199.5,7005234.5,6936557.0,6976043.5,39669727232,0.0,0.0
2021-10-28 14:00:00+00:00,6985704.5,6991333.0,6952005.0,6974890.0,0,0.0,0.0
2021-10-28 15:00:00+00:00,6982852.5,6982852.5,6927421.5,6936163.0,0,0.0,0.0
2021-10-28 16:00:00+00:00,6937033.0,6956251.5,6937033.0,6946686.0,0,0.0,0.0
2021-10-28 17:00:00+00:00,6945767.0,6953415.0,6910571.5,6940552.0,54076112896,0.0,0.0
2021-10-28 18:00:00+00:00,6939430.0,6949622.0,6604593.5,6834599.5,387446734848,0.0,0.0
2021-10-28 19:00:00+00:00,6829029.0,6962432.5,6776891.5,6962432.5,110540881920,0.0,0.0
2021-10-28 20:00:00+00:00,6975072.5,7056539.0,6975072.5,6986113.5,125757292544,0.0,0.0
2021-10-28 21:00:00+00:00,6973621.5,6973629.0,6875975.0,6898658.5,0,0.0,0.0
2021-10-28 22:00:00+00:00,6898987.0,6918136.5,6869859.5,6881764.0,0,0.0,0.0
2021-10-29 00:00:00+00:00,6888036.0,6954629.5,6859094.5,6954629.5,39790313472,0.0,0.0
2021-10-29 01:00:00+00:00,6969891.5,7033668.0,6951654.0,6982429.5,53060042752,0.0,0.0
2021-10-29 02:00:00+00:00,6978369.0,7011167.0,6972383.0,7001517.0,2263351296,0.0,0.0
2021-10-29 03:00:00+00:00,6997979.5,7024618.5,6992610.0,7007463.0,0,0.0,0.0
2021-10-29 04:00:00+00:00,7005773.0,7010379.0,6981051.0,6996266.5,0,0.0,0.0
2021-10-29 05:00:00+00:00,6992341.5,6994488.0,6900510.0,6927906.5,0,0.0,0.0
2021-10-29 06:00:00+00:00,6934230.5,6980516.0,6921006.5,6980471.5,0,0.0,0.0
2021-10-29 07:00:00+00:00,6981413.0,6981413.0,6866049.0,6890009.5,0,0.0,0.0
2021-10-29 08:00:00+00:00,6890684.5,6937561.5,6872634.0,6934006.5,0,0.0,0.0
2021-10-29 09:00:00+00:00,6933901.0,6973162.0,6920284.5,6921314.0,0,0.0,0.0
2021-10-29 10:00:00+00:00,6924080.0,6943453.0,6899945.0,6943453.0,0,0.0,0.0
2021-10-29 11:00:00+00:00,6945261.0,6958891.0,6907027.5,6940799.5,0,0.0,0.0
2021-10-29 12:00:00+00:00,6942159.0,6978428.0,6919873.5,6941749.5,23883415552,0.0,0.0
2021-10-29 13:00:00+00:00,6944541.5,6990162.0,6931552.0,6990162.0,0,0.0,0.0
2021-10-29 14:00:00+00:00,6985955.0,6988046.5,6949755.5,6977349.0,0,0.0,0.0
2021-10-29 15:00:00+00:00,6981116.0,7130716.5,6977414.0,7111899.5,181780611072,0.0,0.0
