Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,EMA45,EMA47,SMA25,MACD,Signal,before_MACD,before_Signal,g_point,s_point,yen,btc,total
2023-09-27 16:00:00+00:00,3928504.5,3933230.5,3922282.25,3922661.75,0,0.0,0.0,3922066.9280776824,3922062.0878092935,,4.840268388856202,4.091871515327934,6.525059101637453,3.5887825059005993,False,False,50000.0,0.0127464469757047,100000.0
2023-09-27 17:00:00+00:00,3922887.75,3927652.5,3913622.5,3921294.0,15739125760,0.0,0.0,3921860.627410332,3921857.639058438,,2.9883518940769136,3.728310966841521,4.840268388856202,4.091871515327934,False,True,99982.56604714898,0.0,99982.56604714898
2023-09-27 18:00:00+00:00,3921479.75,3928072.75,3908429.25,3925726.25,42054975488,0.0,0.0,3922703.9660042287,3922698.5800540657,,5.3859501630067825,4.204174096408698,2.9883518940769136,3.728310966841521,True,False,0.0,0.025468552741584816,99982.56604714898
2023-09-27 19:00:00+00:00,3925742.75,3930691.75,3923982.0,3925944.75,0,0.0,0.0,3923305.8475374095,3923298.7606680826,,7.08686932688579,4.952909621299138,5.3859501630067825,4.204174096408698,False,False,0.0,0.025468552741584816,99988.13092592302
2023-09-27 20:00:00+00:00,3926022.0,3930999.0,3921511.5,3926679.25,0,0.0,0.0,3923854.340042791,3923845.4739682083,,8.86607458256185,5.895825181346469,7.08686932688579,4.952909621299138,False,False,0.0,0.025468552741584816,100006.8375779117
2023-09-27 21:00:00+00:00,3926227.75,3930709.75,3924110.0,3925284.5,0,0.0,0.0,3924062.1242030957,3924053.255841864,,8.86836123187095,6.572091458302351,8.86607458256185,5.895825181346469,False,False,0.0,0.025468552741584816,99971.31531397538
2023-09-27 22:00:00+00:00,3926074.75,3935802.0,3926074.75,3932965.5,6500122624,0.0,0.0,3925236.14603922,3925220.224713996,,15.92132522398606,8.606157556131715,8.86836123187095,6.572091458302351,False,False,0.0,0.025468552741584816,100166.9392675835
2023-09-27 23:00:00+00:00,3933541.25,3941315.25,3928209.25,3939653.5,13108248576,0.0,0.0,3926982.8719672,3926955.227738151,,27.644229049328715,12.605221842813105,15.92132522398606,8.606157556131715,False,False,0.0,0.025468552741584816,100337.27294831922
2023-09-28 00:00:00+00:00,3939618.0,3964290.0,3938910.25,3949222.75,52478738432,0.0,0.0,3929483.121404352,3929437.0474142977,,46.07399005442858,19.44247276385535,27.644229049328715,12.605221842813105,False,False,0.0,0.025468552741584816,100580.98789664163
2023-09-28 01:00:00+00:00,3948605.0,3953289.25,3939080.0,3951107.0,20562182144,0.0,0.0,3931757.3269928982,3931694.707525606,,62.61946729244664,28.069157247998337,46.07399005442858,19.44247276385535,False,False,0.0,0.025468552741584816,100628.97701714496
